W% BaO,W% CaO,W% MgO,W% PbO,W% SrO,W% ZnO,W% GeO2,W% SiO2,W% TeO2,W% TiO2,W% ZrO2,W% WO3,W% K2O,W% Li2O,W% Na2O,W% Al2O3,W% B2O3,W% Bi2O3,W% P2O5,TG
0.0,8.91202259063721,0.0,0.0,0.0,0.0,0.0,38.195255279541,0.0,0.0,0.0,0.0,0.0,0.0,19.6998329162598,0.0,33.1928825378418,0.0,0.0,540.0
0.0,8.84500122070313,0.0,0.0,0.0,0.0,0.0,33.1695137023926,0.0,0.0,0.0,0.0,0.0,0.0,19.5516834259033,0.0,38.4338035583496,0.0,0.0,525.0
0.0,8.77898025512695,0.0,0.0,0.0,0.0,0.0,28.2187957763672,0.0,0.0,0.0,0.0,0.0,0.0,19.4057464599609,0.0,43.5964851379395,0.0,0.0,515.0
0.0,17.9652252197266,0.0,0.0,0.0,0.0,0.0,39.4602355957031,0.0,0.0,0.0,0.0,0.0,0.0,7.44595193862915,0.0,35.1285858154297,0.0,0.0,500.0
0.0,4.6160888671875,0.0,0.0,0.0,0.0,0.0,79.1347579956055,0.0,0.0,0.0,0.0,0.0,0.0,7.65282297134399,0.0,8.5963249206543,0.0,0.0,585.0
0.0,4.58013677597046,0.0,0.0,0.0,0.0,0.0,73.6110229492188,0.0,0.0,0.0,0.0,0.0,0.0,7.59321975708008,0.0,14.2156209945679,0.0,0.0,555.0
0.0,4.54474067687988,0.0,0.0,0.0,0.0,0.0,68.1726608276367,0.0,0.0,0.0,0.0,0.0,0.0,7.53453731536865,0.0,19.7480640411377,0.0,0.0,525.0
0.0,4.50988674163818,0.0,0.0,0.0,0.0,0.0,62.8177108764648,0.0,0.0,0.0,0.0,0.0,0.0,7.47675466537476,0.0,25.1956481933594,0.0,0.0,495.0
0.0,9.19035053253174,0.0,0.0,0.0,0.0,0.0,68.92919921875,0.0,0.0,0.0,0.0,0.0,0.0,7.61815166473389,0.0,14.2622976303101,0.0,0.0,560.0
0.0,9.11909294128418,0.0,0.0,0.0,0.0,0.0,63.5094223022461,0.0,0.0,0.0,0.0,0.0,0.0,7.55908441543579,0.0,19.8124008178711,0.0,0.0,530.0
0.0,9.08387756347656,0.0,0.0,0.0,0.0,0.0,60.830924987793,0.0,0.0,0.0,0.0,0.0,0.0,7.52989292144775,0.0,22.5553016662598,0.0,0.0,520.0
0.0,9.01425552368164,0.0,0.0,0.0,0.0,0.0,55.5355186462402,0.0,0.0,0.0,0.0,0.0,0.0,7.47218084335327,0.0,27.9780387878418,0.0,0.0,500.0
0.0,8.94569301605225,0.0,0.0,0.0,0.0,0.0,50.320671081543,0.0,0.0,0.0,0.0,0.0,0.0,7.41534757614136,0.0,33.318286895752,0.0,0.0,475.0
0.0,13.8309373855591,0.0,0.0,0.0,0.0,0.0,64.2165298461914,0.0,0.0,0.0,0.0,0.0,0.0,7.6432466506958,0.0,14.3092794418335,0.0,0.0,565.0
0.0,13.7233486175537,0.0,0.0,0.0,0.0,0.0,58.8156967163086,0.0,0.0,0.0,0.0,0.0,0.0,7.58379125595093,0.0,19.8771572113037,0.0,0.0,540.0
0.0,13.6174221038818,0.0,0.0,0.0,0.0,0.0,53.4982376098633,0.0,0.0,0.0,0.0,0.0,0.0,7.52525424957275,0.0,25.3590850830078,0.0,0.0,520.0
0.0,13.4924478530884,0.0,0.0,0.0,0.0,0.0,47.2246475219727,0.0,0.0,0.0,0.0,0.0,0.0,7.45619106292725,0.0,31.8267116546631,0.0,0.0,500.0
0.0,13.5131177902222,0.0,0.0,0.0,0.0,0.0,48.2622337341309,0.0,0.0,0.0,0.0,0.0,0.0,7.46761322021484,0.0,30.7570285797119,0.0,0.0,505.0
0.0,13.4103984832764,0.0,0.0,0.0,0.0,0.0,43.1058349609375,0.0,0.0,0.0,0.0,0.0,0.0,7.41084861755371,0.0,36.0729103088379,0.0,0.0,465.0
0.0,18.5022010803223,0.0,0.0,0.0,0.0,0.0,59.4727172851563,0.0,0.0,0.0,0.0,0.0,0.0,7.66850852966309,0.0,14.3565731048584,0.0,0.0,535.0
0.0,18.3578052520752,0.0,0.0,0.0,0.0,0.0,54.091194152832,0.0,0.0,0.0,0.0,0.0,0.0,7.60866165161133,0.0,19.9423446655273,0.0,0.0,545.0
0.0,18.0756683349609,0.0,0.0,0.0,0.0,0.0,43.5762672424316,0.0,0.0,0.0,0.0,0.0,0.0,7.49172592163086,0.0,30.8563442230225,0.0,0.0,510.0
0.0,17.9378261566162,0.0,0.0,0.0,0.0,0.0,38.4390754699707,0.0,0.0,0.0,0.0,0.0,0.0,7.43459510803223,0.0,36.1884994506836,0.0,0.0,495.0
0.0,23.1132411956787,0.0,0.0,0.0,0.0,0.0,52.0059814453125,0.0,0.0,0.0,0.0,0.0,0.0,7.66369771957397,0.0,17.2170791625977,0.0,0.0,560.0
0.0,22.8438854217529,0.0,0.0,0.0,0.0,0.0,44.0570678710938,0.0,0.0,0.0,0.0,0.0,0.0,7.57438659667969,0.0,25.5246543884277,0.0,0.0,525.0
0.0,0.0,0.0,51.2542915344238,0.0,0.0,0.0,41.6922340393066,0.0,0.0,0.0,0.0,7.05347442626953,0.0,0.0,0.0,0.0,0.0,0.0,460.0
0.0,0.0,0.0,44.396556854248,0.0,0.0,0.0,46.1455230712891,0.0,0.0,0.0,0.0,7.80687999725342,1.65102899074554,0.0,0.0,0.0,0.0,0.0,435.0
0.0,0.0,0.0,35.8986434936523,0.0,0.0,0.0,51.663932800293,0.0,0.0,0.0,0.0,8.74048137664795,3.69694137573242,0.0,0.0,0.0,0.0,0.0,420.0
